data,horário_inicio,horário_fim,tuítes_rotulados,total_tuítes
14/02/2021,17:55:00,18:20:00,13,13
14/02/2021,19:05:00,19:30:00,27,40
14/02/2021,21:00:00,21:25:00,21,61
15/02/2021,10:40:00,11:05:00,32,93
15/02/2021,14:35:00,15:00:00,11,104
15/02/2021,16:45:00,17:10:00,20,124
15/02/2021,18:00:00,18:25:00,38,162
17/02/2021,15:55:00,16:20:00,22,184
17/02/2021,17:35:00,18:00:00,52,236
18/02/2021,16:35:00,17:00:00,69,305
18/02/2021,17:35:00,18:00:00,52,357
19/02/2021,16:45:00,17:10:00,37,394
19/02/2021,17:35:00,18:00:00,31,425
19/02/2021,18:50:00,19:15:00,41,466
20/02/2021,14:50:00,15:15:00,51,517
20/02/2021,15:20:00,15:45:00,41,558
20/02/2021,17:45:00,18:10:00,50,608
20/02/2021,19:05:00,19:30:00,50,658
21/02/2021,13:20:00,13:45:00,42,700
21/02/2021,14:00:00,14:25:00,53,753
21/02/2021,19:25:00,19:50:00,65,818
21/02/2021,20:00:00,20:25:00,61,879
22/02/2021,14:40:00,15:05:00,50,929
22/02/2021,17:05:00,17:30:00,79,1008
23/02/2021,15:50:00,16:15:00,50,1058
23/02/2021,16:30:00,16:55:00,62,1120
24/02/2021,17:35:00,18:00:00,53,1173
24/02/2021,18:10:00,18:35:00,65,1238
25/02/2021,14:10:00,14:35:00,69,1307
25/02/2021,17:00:00,17:25:00,77,1384
25/02/2021,17:35:00,18:00:00,74,1458
26/02/2021,14:45:00,15:10:00,55,1513
26/02/2021,15:20:00,15:45:00,70,1583
26/02/2021,16:00:00,16:25:00,64,1647
27/02/2021,17:25:00,17:50:00,65,1712
27/02/2021,18:00:00,18:25:00,84,1796
27/02/2021,18:35:00,19:00:00,60,1856
28/02/2021,10:25:00,10:50:00,70,1926
28/02/2021,11:00:00,11:25:00,74,2000