data,horário_inicio,horário_fim,tuites_rotulados,total_tuítes
12/02/2021,13:30:00,13:55:00,23,23
12/02/2021,14:25:00,14:50:00,52,75
12/02/2021,15:20:00,15:45:00,45,120
13/02/2021,11:10:00,11:35:00,33,153
13/02/2021,11:50:00,12:15:00,81,201
14/02/2021,11:45:00,12:10:00,30,231
14/02/2021,12:15:00,12:40:00,49,280
14/02/2021,14:05:00,14:30:00,32,312
15/02/2021,13:35:00,14:00:00,30,342
15/02/2021,16:20:00,16:45:00,59,401
17/02/2021,11:15:00,11:40:00,62,463
17/02/2021,15:00:00,15:25:00,44,507
17/02/2021,15:30:00,15:55:00,43,550
18/02/2021,15:30:00,15:55:00,51,601
18/02/2021,16:00:00,16:25,50,651
18/02/2021,18:25:00,18:50:00,51,702
21/02/2021,11:20:00,11:45:00,51,753
21/02/2021,13:10:00,13:35:00,47,800
21/02/2021,21:20:00,21:45:00,53,853
21/02/2021,22:00:00,22:25:00,57,910
22/02/2021,18:20:00,18:45:00,56,966
22/02/2021,18:50:00,19:15:00,56,1022
23/02/2021,10:15:00,10:40:00,53,1075
23/02/2021,11:15:00,11:40:00,75,1150
24/02/2021,19:40:00,20:05:00,51,1201
24/02/2021,20:35:00,21:00:00,57,1258
25/02/2021,20:05:00,20:30:00,46,1304
25/02/2021,21:25:00,21:50:00,69,1373
28/02/2021,11:00:00,11:25:00,44,1417
28/02/2021,12:35:00,13:00,66,1483
04/03/2021,09:25:00,09:50:00,73,1556
04/03/2021,09:55:00,10:20:00,71,1627
04/03/2021,10:25:00,10:50:00,75,1702
04/03/2021,10:55:00,11:20:00,75,1777
04/03/2021,11:25:00,11:50:00,78,1855
04/03/2021,11:52:00,12:20:00,72,1927
04/03/2021,13:15:00,13:36:00,74,2001