sigla,significado
lol,risada
rs,risada
haha,risada
bjs,beijos
aff,impaciente
bbq,babaca
bbk,babaca
brinks,brincadeira
add,adicionar
amg,amigo
wtf,que droga e essa
ctz,certeza
msm,mesmo
nsfw,inadequado para o ambiente de trabalho
vdd,verdade
sqn,so que nao
msg,mensagem
plmdds,pelo amor de deus
mds,meu deus
fds,fim de semana
pfvr,por favor
pf,por favor
btw,a proposito
vlw,valeu
bff,melhor amigo
tbt,throwback thursday
pq,por que
sdv,segue de volta
asap,o mais rapido possivel
diy,faca voce mesmo
obg,obrigado
sdds,saudades
aka,tambem conhecido como
dm,mensagem direta
tdb,tudo bem
s,sim