mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_adaboost__learning_rate;param_adaboost__n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
1.618899416923523;0.14566290527824677;0.015798664093017577;0.002856585379583095;0.0001;10;{'adaboost__learning_rate': 0.0001, 'adaboost__n_estimators': 10};0.6020408163265306;0.673469387755102;0.6326530612244898;0.6632653061224489;0.5306122448979592;0.5463917525773195;0.6082474226804123;0.6494845360824743;0.4845360824742268;0.5670103092783505;0.5957710919419313;0.05909084581147699;19
8.849504399299622;0.7503838437532073;0.04879872798919678;0.010477012854206429;0.0001;50;{'adaboost__learning_rate': 0.0001, 'adaboost__n_estimators': 50};0.6836734693877551;0.6020408163265306;0.6224489795918368;0.6428571428571429;0.5612244897959183;0.6185567010309279;0.5876288659793815;0.5876288659793815;0.5567010309278351;0.6288659793814433;0.6091626341258152;0.036563087800446266;17
21.483009767532348;2.512938352164394;0.13952620029449464;0.043920429318294825;0.0001;100;{'adaboost__learning_rate': 0.0001, 'adaboost__n_estimators': 100};0.6428571428571429;0.6122448979591837;0.5816326530612245;0.5816326530612245;0.5612244897959183;0.6391752577319587;0.5979381443298969;0.6288659793814433;0.5257731958762887;0.5773195876288659;0.5948664001683147;0.0350679471809789;20
122.31830372810364;7.772445078602391;0.512007737159729;0.03716523049955297;0.0001;500;{'adaboost__learning_rate': 0.0001, 'adaboost__n_estimators': 500};0.673469387755102;0.6530612244897959;0.6428571428571429;0.5918367346938775;0.5204081632653061;0.6288659793814433;0.6082474226804123;0.6391752577319587;0.5670103092783505;0.6391752577319587;0.6164106879865348;0.043378978579318904;12
2.627465510368347;0.2268534441268043;0.024699854850769042;0.003376177058564358;0.001;10;{'adaboost__learning_rate': 0.001, 'adaboost__n_estimators': 10};0.6836734693877551;0.673469387755102;0.5816326530612245;0.5816326530612245;0.5510204081632653;0.6494845360824743;0.6185567010309279;0.6185567010309279;0.6082474226804123;0.6185567010309279;0.6184830633284241;0.03950477964970867;11
12.373246121406556;0.8389343690830929;0.06479997634887695;0.005978230659538523;0.001;50;{'adaboost__learning_rate': 0.001, 'adaboost__n_estimators': 50};0.6632653061224489;0.6530612244897959;0.5714285714285714;0.6428571428571429;0.5102040816326531;0.6907216494845361;0.5773195876288659;0.6391752577319587;0.5567010309278351;0.6185567010309279;0.6123290553334735;0.053397543121045214;14
24.348950910568238;1.4803667352970753;0.13020005226135253;0.03312006236664581;0.001;100;{'adaboost__learning_rate': 0.001, 'adaboost__n_estimators': 100};0.6632653061224489;0.6938775510204082;0.6530612244897959;0.5918367346938775;0.5102040816326531;0.6494845360824743;0.6288659793814433;0.6288659793814433;0.5154639175257731;0.5773195876288659;0.6112244897959183;0.05854656302536567;15
121.72898652553559;11.3288665813489;0.5253996610641479;0.16686658790517042;0.001;500;{'adaboost__learning_rate': 0.001, 'adaboost__n_estimators': 500};0.673469387755102;0.6530612244897959;0.6836734693877551;0.6326530612244898;0.5204081632653061;0.5463917525773195;0.6288659793814433;0.6804123711340206;0.5876288659793815;0.5876288659793815;0.6194193141173996;0.05415146123399504;10
2.246900773048401;0.2833790704194358;0.020099830627441407;0.004347888008674943;0.01;10;{'adaboost__learning_rate': 0.01, 'adaboost__n_estimators': 10};0.7142857142857143;0.6530612244897959;0.6224489795918368;0.6326530612244898;0.5306122448979592;0.6288659793814433;0.6597938144329897;0.6391752577319587;0.5876288659793815;0.6185567010309279;0.6287081843046497;0.045233396027902106;5
14.595195698738099;2.5285265357694127;0.08100020885467529;0.01986039875642386;0.01;50;{'adaboost__learning_rate': 0.01, 'adaboost__n_estimators': 50};0.7244897959183674;0.6530612244897959;0.5714285714285714;0.6020408163265306;0.5510204081632653;0.5979381443298969;0.6185567010309279;0.5773195876288659;0.5567010309278351;0.5567010309278351;0.600925731117189;0.051124094008822125;18
30.756670975685118;1.8052031445984018;0.1548238515853882;0.02761390890234467;0.01;100;{'adaboost__learning_rate': 0.01, 'adaboost__n_estimators': 100};0.7040816326530612;0.7142857142857143;0.673469387755102;0.6326530612244898;0.5204081632653061;0.5773195876288659;0.7216494845360825;0.6288659793814433;0.5257731958762887;0.5670103092783505;0.6265516515884704;0.0723790878964418;6
137.96243731975557;10.309347997391043;0.7119819641113281;0.12396002854287728;0.01;500;{'adaboost__learning_rate': 0.01, 'adaboost__n_estimators': 500};0.7142857142857143;0.7142857142857143;0.6428571428571429;0.6224489795918368;0.5510204081632653;0.6494845360824743;0.711340206185567;0.6391752577319587;0.5670103092783505;0.5773195876288659;0.638922785609089;0.05804747265928865;3
3.143820333480835;0.41279362324316243;0.030902457237243653;0.01136265018903544;0.1;10;{'adaboost__learning_rate': 0.1, 'adaboost__n_estimators': 10};0.6632653061224489;0.6632653061224489;0.6632653061224489;0.5918367346938775;0.5204081632653061;0.6082474226804123;0.5979381443298969;0.6494845360824743;0.5360824742268041;0.5979381443298969;0.6091731537976015;0.049171354096018374;16
17.944190216064452;2.2705209579033108;0.08630261421203614;0.025357212639795543;0.1;50;{'adaboost__learning_rate': 0.1, 'adaboost__n_estimators': 50};0.7142857142857143;0.6836734693877551;0.6122448979591837;0.6020408163265306;0.5408163265306123;0.5773195876288659;0.6907216494845361;0.6701030927835051;0.5051546391752577;0.6185567010309279;0.6214916894592889;0.06488421418583586;9
35.685921382904056;5.545766315552385;0.13760702610015868;0.03356262917198672;0.1;100;{'adaboost__learning_rate': 0.1, 'adaboost__n_estimators': 100};0.6530612244897959;0.6632653061224489;0.6530612244897959;0.6122448979591837;0.47959183673469385;0.6185567010309279;0.6494845360824743;0.6185567010309279;0.5567010309278351;0.6288659793814433;0.6133389438249527;0.053242597829882034;13
201.05802788734437;31.463423464265638;0.6634672403335571;0.0825779892332013;0.1;500;{'adaboost__learning_rate': 0.1, 'adaboost__n_estimators': 500};0.6938775510204082;0.6836734693877551;0.6836734693877551;0.6428571428571429;0.5306122448979592;0.5773195876288659;0.6288659793814433;0.6185567010309279;0.6082474226804123;0.5567010309278351;0.6224384599200504;0.052978166906948794;8
2.3538774490356444;0.4604633742188599;0.026648998260498047;0.006689692808976928;1.0;10;{'adaboost__learning_rate': 1.0, 'adaboost__n_estimators': 10};0.6530612244897959;0.6938775510204082;0.6326530612244898;0.6530612244897959;0.5612244897959183;0.6082474226804123;0.6597938144329897;0.6701030927835051;0.5154639175257731;0.5773195876288659;0.6224805386071954;0.053083436494886366;7
23.36310031414032;18.241714506119973;0.08120849132537841;0.01576496134191926;1.0;50;{'adaboost__learning_rate': 1.0, 'adaboost__n_estimators': 50};0.7346938775510204;0.5918367346938775;0.6836734693877551;0.5816326530612245;0.5408163265306123;0.6597938144329897;0.6701030927835051;0.5979381443298969;0.5979381443298969;0.6288659793814433;0.6287292236482221;0.054889164577076516;4
48.780929923057556;26.260016480116683;0.15090041160583495;0.018620044900663737;1.0;100;{'adaboost__learning_rate': 1.0, 'adaboost__n_estimators': 100};0.7448979591836735;0.7142857142857143;0.7040816326530612;0.6836734693877551;0.6122448979591837;0.6391752577319587;0.7010309278350515;0.4948453608247423;0.5979381443298969;0.6288659793814433;0.6521039343572481;0.06966316094148768;2
199.40264155864716;63.00482083360054;0.49793803691864014;0.09164675437954733;1.0;500;{'adaboost__learning_rate': 1.0, 'adaboost__n_estimators': 500};0.7346938775510204;0.7244897959183674;0.6224489795918368;0.6428571428571429;0.5918367346938775;0.6804123711340206;0.6804123711340206;0.6804123711340206;0.6185567010309279;0.6082474226804123;0.6584367767725647;0.046593702202248226;1
